EPICID,Name,RA,Decl,Ks,V-Ks,W1-W3,lambda_max,SpT,HalphaEqW,LiEqW,P1,P2,Class,provenance,solution_id,designation,source_id,random_index,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,epic_number,ra_epic,dec_epic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_name,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_teff,k2_tefferr1,k2_tefferr2,k2_logg,k2_loggerr1,k2_loggerr2,k2_metfe,k2_metfeerr1,k2_metfeerr2,k2_rad,k2_raderr1,k2_raderr2,k2_mass,k2_masserr1,k2_masserr2,k2_kepmag,k2_kepmagerr,k2_kepmagflag,k2c_disp,k2c_note,k2_gaia_ang_dist,dr2_source_id,ticid
204918279,RIK-21,239.1046,-20.2711,9.86,6.90d,0.38,12,M5.0,-10.2,0.61,0.4594,0.4665*,1,2017AJ....153..152S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220765024
204066898,UScoCTIO 80A,239.6509,-23.8005,10.19,5.59,0.27,12,M3,-9.9,---,0.3956*,0.5386,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6237069013821425408,6.237069013821426e+18,961089723.0,2015.5,239.6508388458569,0.07974826326015531,-23.800663412325495,0.037243729758707426,8.16556847754668,0.08502877803801417,96.033,-15.432762323244287,0.1590689722883602,-25.428159342696496,0.100874306049329,-0.026010973,-0.38149664,0.025887635,-0.043716237,-0.19667913,-0.12864324,0.53716916,-0.047035728,-0.22127157,-0.12761177,267.0,0.0,267.0,0.0,26.950468,1487.7063,0.4237560048868925,41.68773747380021,31.0,False,4.8579865,1.322082242601991,0.010910704531067027,0.10420715,30.0,11.0,0.1457299,0.0,32.0,False,285.0,37692.95092534077,52.10120044634662,723.4565,14.247715,31.0,5816.515743531491,36.36477253101336,159.94919,15.939731,32.0,51179.1858994367,162.25651302253345,315.42145,12.989186,1.5121051,0.0,2.9505444,1.6920156,1.2585287,,,0.0,,,,NOT_AVAILABLE,348.8961781815831,21.93167319693944,242.41727440849488,-3.220676665979616,100001.0,3586.6074,3124.0,4258.297,1.025,0.6129,2.113,0.5617,0.3476,1.0736,200111.0,0.57627606,0.4088146,0.7595847,0.04950981,0.048436053,0.050583564,http://geadata.esac.esa.int/data-server/datalink/links?ID=6237069013821425408, ,204066898,239.650891,-23.800548,122.057450770039,120.794041541758,123.347086499022,1804.98810789817,1.0,1.0,2MASS J15583621-2348018,2,STAR,1.0,0.0,4830.0,437.0,-874.0,3.77,0.99,-0.7,-0.254,0.36,-0.42,2.08,2.19,-1.71,0.93,0.2,-0.48,14.397,999999.0,gri,N/A,N/A,0.07071942754231307,6237069013821425408,12659333
204066898,UScoCTIO 80A,239.6509,-23.8005,10.19,5.59,0.27,12,M3,-9.9,---,0.3956*,0.5386,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6237069013821425408,6.237069013821426e+18,961089723.0,2015.5,239.6508388458569,0.07974826326015531,-23.800663412325495,0.037243729758707426,8.16556847754668,0.08502877803801417,96.033,-15.432762323244287,0.1590689722883602,-25.428159342696496,0.100874306049329,-0.026010973,-0.38149664,0.025887635,-0.043716237,-0.19667913,-0.12864324,0.53716916,-0.047035728,-0.22127157,-0.12761177,267.0,0.0,267.0,0.0,26.950468,1487.7063,0.4237560048868925,41.68773747380021,31.0,False,4.8579865,1.322082242601991,0.010910704531067027,0.10420715,30.0,11.0,0.1457299,0.0,32.0,False,285.0,37692.95092534077,52.10120044634662,723.4565,14.247715,31.0,5816.515743531491,36.36477253101336,159.94919,15.939731,32.0,51179.1858994367,162.25651302253345,315.42145,12.989186,1.5121051,0.0,2.9505444,1.6920156,1.2585287,,,0.0,,,,NOT_AVAILABLE,348.8961781815831,21.93167319693944,242.41727440849488,-3.220676665979616,100001.0,3586.6074,3124.0,4258.297,1.025,0.6129,2.113,0.5617,0.3476,1.0736,200111.0,0.57627606,0.4088146,0.7595847,0.04950981,0.048436053,0.050583564,http://geadata.esac.esa.int/data-server/datalink/links?ID=6237069013821425408, ,204066898,239.650891,-23.800548,122.057450770039,120.794041541758,123.347086499022,1804.98810789817,1.0,1.0,2MASS J15583621-2348018,15,STAR,1.0,0.0,,,,,,,,,,,,,,,,14.397,999999.0,gri,N/A,N/A,0.07071942754231307,6237069013821425408,12659333
204066898,UScoCTIO 80A,239.6509,-23.8005,10.19,5.59,0.27,12,M3,-9.9,---,0.3956*,0.5386,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6237069013821425408,6.237069013821426e+18,961089723.0,2015.5,239.6508388458569,0.07974826326015531,-23.800663412325495,0.037243729758707426,8.16556847754668,0.08502877803801417,96.033,-15.432762323244287,0.1590689722883602,-25.428159342696496,0.100874306049329,-0.026010973,-0.38149664,0.025887635,-0.043716237,-0.19667913,-0.12864324,0.53716916,-0.047035728,-0.22127157,-0.12761177,267.0,0.0,267.0,0.0,26.950468,1487.7063,0.4237560048868925,41.68773747380021,31.0,False,4.8579865,1.322082242601991,0.010910704531067027,0.10420715,30.0,11.0,0.1457299,0.0,32.0,False,285.0,37692.95092534077,52.10120044634662,723.4565,14.247715,31.0,5816.515743531491,36.36477253101336,159.94919,15.939731,32.0,51179.1858994367,162.25651302253345,315.42145,12.989186,1.5121051,0.0,2.9505444,1.6920156,1.2585287,,,0.0,,,,NOT_AVAILABLE,348.8961781815831,21.93167319693944,242.41727440849488,-3.220676665979616,100001.0,3586.6074,3124.0,4258.297,1.025,0.6129,2.113,0.5617,0.3476,1.0736,200111.0,0.57627606,0.4088146,0.7595847,0.04950981,0.048436053,0.050583564,http://geadata.esac.esa.int/data-server/datalink/links?ID=6237069013821425408, ,204066898,239.650891,-23.800548,122.057450770039,120.794041541758,123.347086499022,1804.98810789817,1.0,1.0,2MASS J15583621-2348018,15,STAR,1.0,0.0,,,,,,,,,,,,,,,,14.397,999999.0,gri,N/A,N/A,0.07071942754231307,6237069013821425408,12659333
204066898,UScoCTIO 80A,239.6509,-23.8005,10.19,5.59,0.27,12,M3,-9.9,---,0.3956*,0.5386,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6237069013821425408,6.237069013821426e+18,961089723.0,2015.5,239.6508388458569,0.07974826326015531,-23.800663412325495,0.037243729758707426,8.16556847754668,0.08502877803801417,96.033,-15.432762323244287,0.1590689722883602,-25.428159342696496,0.100874306049329,-0.026010973,-0.38149664,0.025887635,-0.043716237,-0.19667913,-0.12864324,0.53716916,-0.047035728,-0.22127157,-0.12761177,267.0,0.0,267.0,0.0,26.950468,1487.7063,0.4237560048868925,41.68773747380021,31.0,False,4.8579865,1.322082242601991,0.010910704531067027,0.10420715,30.0,11.0,0.1457299,0.0,32.0,False,285.0,37692.95092534077,52.10120044634662,723.4565,14.247715,31.0,5816.515743531491,36.36477253101336,159.94919,15.939731,32.0,51179.1858994367,162.25651302253345,315.42145,12.989186,1.5121051,0.0,2.9505444,1.6920156,1.2585287,,,0.0,,,,NOT_AVAILABLE,348.8961781815831,21.93167319693944,242.41727440849488,-3.220676665979616,100001.0,3586.6074,3124.0,4258.297,1.025,0.6129,2.113,0.5617,0.3476,1.0736,200111.0,0.57627606,0.4088146,0.7595847,0.04950981,0.048436053,0.050583564,http://geadata.esac.esa.int/data-server/datalink/links?ID=6237069013821425408, ,204066898,239.650891,-23.800548,122.057450770039,120.794041541758,123.347086499022,1804.98810789817,1.0,1.0,2MASS J15583621-2348018,2,STAR,1.0,0.0,4830.0,437.0,-874.0,3.77,0.99,-0.7,-0.254,0.36,-0.42,2.08,2.19,-1.71,0.93,0.2,-0.48,14.397,999999.0,gri,N/A,N/A,0.07071942754231307,6237069013821425408,12659333
203462615,RIK-42,239.9086,-26.0565,10.25,6.13,0.47,12,M5.5,-16.2,0.81,0.5201*,0.4421,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6235428336315960576,6.23542833631596e+18,1331608418.0,2015.5,239.9085665560468,0.14137700739701445,-26.056614700171913,0.05925884647084095,7.715018663961357,0.15001947680270708,51.42678,-13.900581353864201,0.2532932644513743,-27.440913696564696,0.14781947695919231,-0.18184568,-0.4787604,0.054116555,-0.19951113,0.09862553,-0.20474575,0.5683851,-0.263194,-0.051255353,-0.075245425,235.0,0.0,235.0,0.0,34.16626,2013.666,0.6363259296681337,75.08234704085244,31.0,False,2.280071,1.3043232079327756,0.01718421779345463,0.11636301,27.0,11.0,0.22846422,0.0,28.0,True,244.0,28599.799398527524,30.0913996092562,950.431,14.547459,23.0,3407.578545447025,24.79181373343714,137.44772,16.520273,24.0,41602.17829088723,113.25104293425241,367.34476,13.214129,1.5737787,0.0,3.3061438,1.9728146,1.3333292,,,0.0,,,,NOT_AVAILABLE,347.3921660860307,20.15018190828475,243.1011517445808,-5.383759591584868,100001.0,3810.18,3629.1724,4246.43,1.775,1.396,2.1394,1.035,0.803,1.2526,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6235428336315960576, ,203462615,239.908635,-26.056524,129.225654664139,126.748356538097,131.79992522622,1883.85052131515,1.0,1.0,2MASS J15593807-2603233,2,STAR,1.0,0.0,7944.0,79.0,-4258.0,4.15,0.75,-0.38,-0.106,0.18,-0.15,1.8,0.48,-1.47,1.69,0.1,-0.84,13.51,999999.0,JHK,N/A,N/A,0.09898932484984355,6235428336315960576,66750314
204897050,UScoCTIO 56,240.4208,-20.3689,10.86,7.16d,0.42,12,M5,---,---,0.2639,---,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6247083125210430080,6.24708312521043e+18,1578451633.0,2015.5,240.4206969105535,0.158515386500387,-20.36901419744526,0.07796616072157721,6.782088866118824,0.19087832259193105,35.530952,-12.52130614451881,0.2929205684105522,-23.026466979209143,0.15764576913494502,-0.40764606,-0.5149837,-0.00085848663,-0.32406035,0.48245555,-0.33604875,0.63600427,-0.43766996,0.18602073,-0.15682347,301.0,0.0,299.0,2.0,31.630285,1918.9855,0.7599217256079978,61.166412479681135,31.0,False,1.4971613,1.2399348333402451,0.018834461146975803,0.066674605,34.0,11.0,0.27172983,0.0,39.0,False,345.0,10453.446577225408,17.318910507581204,603.5857,15.640217,38.0,979.5372610450884,10.230063978664907,95.75085,17.873837,36.0,16191.72376425585,85.22172999948592,189.99525,14.2386875,1.6426411,0.0,3.635149,2.2336197,1.4015293,,,0.0,,,,NOT_AVAILABLE,352.0825199473118,23.847307372401563,242.4342075073501,0.28426289626124895,100001.0,3495.4475,3314.0,3711.545,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6247083125210430080, ,204897050,240.420757,-20.368889,147.040976130358,142.992743121868,151.320800047223,1745.76418010391,1.0,1.0,2MASS J16014098-2022080,2,STAR,1.0,0.0,5672.0,490.0,-882.0,3.71,0.41,-1.22,-0.079,0.12,-0.36,2.65,6.41,-1.22,1.22,0.3,-0.25,13.364,999999.0,J,N/A,N/A,0.09420454582442546,6247083125210430080,9669706
202724025,RIK-90,242.2373,-28.5993,9.63,5.78,0.33,12,M4.5,-10.2,0.21,0.2595*,0.2795,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6041816502013814400,6.041816502013815e+18,300519508.0,2015.5,242.23725658856856,0.08429875205135562,-28.599392250548444,0.041725971708999214,6.846004585148601,0.09487246944493341,72.16007,-9.586188732487306,0.18449261380861684,-25.23533061902321,0.11105665519567615,-0.37599826,-0.24915707,-0.18924025,-0.39671168,0.32009783,-0.21265712,0.34092116,-0.15082003,0.1365623,-0.0140129365,393.0,0.0,393.0,0.0,49.002373,3976.4963,0.5987338066484182,107.1868729571566,31.0,False,2.6362514,1.3042629697536872,0.012381616460467145,-0.01778395,44.0,13.0,0.16833101,0.0,47.0,False,410.0,58346.52433256059,55.9485540979819,1042.8602,13.773328,44.0,8660.186463751317,38.99663218725139,222.07524,15.50757,46.0,80854.58838257723,229.1208563853059,352.89056,12.492659,1.5341921,0.0,3.0149117,1.7342424,1.2806692,,,0.0,,,,NOT_AVAILABLE,347.0738071141748,16.886268293183928,245.6389873021418,-7.477837417299568,100001.0,4226.1035,3836.6199,4468.0864,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6041816502013814400, ,202724025,242.237312,-28.599278,145.507773111801,143.510961291591,147.559916562925,1908.26529607822,1.0,1.0,2MASS J16085695-2835573,2,STAR,1.0,0.0,5000.0,151.0,-181.0,2.54,0.57,-0.18,-0.672,0.56,-0.35,8.18,1.79,-3.48,0.92,0.26,-0.03,13.01,999999.0,JHK,N/A,N/A,0.03333819034142337,6041816502013814400,67897871
204117263,LHJ-65,242.7589,-23.5973,10.95,6.42,0.35,12,M5,-11.6,---,0.6423,---,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6242145626506129664,6.242145626506129e+18,356008635.0,2015.5,242.7587725739722,0.12152357552001218,-23.5974821584555,0.050004564155840155,7.04811499123943,0.1440579368910916,48.92556,-10.5170721610643,0.21602698177543359,-24.885496727193434,0.1549741958686118,-0.3080404,-0.5427596,0.005133995,-0.612555,0.3877128,-0.43250725,0.04179348,-0.3910238,0.49745238,-0.024952054,238.0,0.0,236.0,2.0,17.126066,827.7052,0.4739692712052507,25.2020791057367,31.0,False,3.4488986,1.2209805854570226,0.014279895719936129,0.036572546,27.0,9.0,0.20156513,0.0,30.0,False,264.0,13605.721022883676,17.42569549117418,780.785,15.354062,28.0,1615.402292857475,16.270497642822445,99.284134,17.330687,28.0,20096.58321082994,65.51515747794414,306.74707,14.004114,1.5957983,0.0,3.3265724,1.9766245,1.3499479,,,0.0,,,,NOT_AVAILABLE,351.19098777294,20.04754173720292,245.1746632375106,-2.475400661917051,100001.0,4109.8276,3671.1367,4531.8896,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6242145626506129664, ,204117263,242.758843,-23.597349,141.413118265567,138.567039705656,144.376389793097,1772.40505297372,1.0,1.0,2MASS J16110212-2335504,2,STAR,1.0,0.0,5999.0,198.0,-1041.0,3.8,0.48,-1.16,-0.079,0.15,-0.45,2.21,4.98,-0.98,1.17,0.4,-0.25,14.442,999999.0,JHK,N/A,N/A,0.11650978945845276,6242145626506129664,49072492
204367193,LHJ-77,242.9766,-22.6137,13.3,8.33,---,4.6,M6.3,-10.3,---,0.4835,---,1,2017AJ....153..152S,1.6357214584097997e+18,Gaia DR2 6242649340270424704,6.242649340270425e+18,706200112.0,2015.5,242.97660936589224,0.31101098032347335,-22.61375455625171,0.14906493707967636,6.571241239260174,0.31986952083760184,20.543505,-12.087620008632967,0.6326789163434314,-21.662446811881367,0.4155654778228019,0.08169273,-0.0935652,0.015149363,-0.37885395,-0.3041405,-0.14174138,-0.021887524,-0.30419078,0.12949637,0.24077263,148.0,0.0,148.0,0.0,4.017155,221.36919,0.6506104370329204,2.155432965680948,31.0,False,0.45886996,1.2526274618807727,0.051355863907021175,0.1598707,17.0,9.0,0.57124966,0.0,19.0,False,166.0,886.1201729744357,3.505101603786783,252.8087,18.319633,15.0,69.77190186579367,9.423414901793219,7.4040995,20.742188,17.0,1492.7104058665789,19.00796446458667,78.530785,16.82698,1.7632849,0.0,3.915207,2.422554,1.4926529,,,0.0,,,,NOT_AVAILABLE,352.10034477785143,20.577251076824197,245.19314497617358,-1.4716464754768108,-9.223372036854776e+18,,,,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6242649340270424704, ,204367193,242.976644,-22.613663,152.196701741559,144.95005742259,160.192561457661,1758.38686480471,1.0,1.0,2MASS J16115439-2236491,2,STAR,1.0,0.0,3309.0,2118.0,-211.0,5.1,0.12,-1.2,0.236,0.1,-0.6,0.19,1.55,-0.05,0.17,0.83,-0.05,16.805,999999.0,JHK,N/A,N/A,0.07252366259913243,6242649340270424704,49198167
