EPICID,RA,Decl,Ks,V-Ks,(V-Ks)0,W1-W3,SpT,HalphaEqW,LiEqW,P1,P2,cluster
203354381,246.616,-26.421,9.845,5.88,5.24,0.200,---,---,---,0.5993,---,USco
203636498,245.271,-25.462,10.943,6.34,6.06,0.310,M5.5,-9.3,0.61,0.7794,---,USco
204060981,242.734,-23.825,9.473,5.88,5.11,0.279,M4.5,-6.7,0.65,0.3996*,---,USco
204060981,242.734,-23.825,9.473,5.88,5.11,0.279,M4.5,-6.7,0.65,---,0.3802*,USco
205267399,244.674,-18.544,10.082,5.52,5.17,0.272,M5,-9.0,no,0.3311,0.3344*,USco
203821589,247.000,-24.805,9.269,8.15,5.66,0.470,M4.75,-7.5,yes,0.9105,0.6677*,rhoOph
203897692,246.484,-24.504,9.764,>10,6.03,---,M5,-12,---,0.5011,0.6043*,rhoOph
204185983,246.470,-23.326,7.870,6.75,4.06,0.244,M1.5,-2.5,0.68,1.0529,---,rhoOph
246676629,74.868,+14.273,10.062,5.46,5.26,0.292,M3.5,-5.9,0.4,0.6253*,0.6332,Taurus
246682490,74.770,+14.349,9.467,5.17,4.77,0.190,M3.5,-6.1,0.2,3.6324,0.4377*,Taurus
247343526,70.223,+20.930,11.621,6.42,6.42,0.412,M5,-11.0,---,0.3568,---,Taurus
204099739,242.163,-23.668,9.146,5.33,4.78,0.246,M3.5,-5.0,0.56,0.7158,0.7428*,USco
