EPICID,RA,Decl,Ks,V-Ks,(V-Ks)0,W1-W3,SpT,HalphaEqW,LiEqW,P1,P2,cluster,provenance,solution_id,designation,source_id,random_index,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,epic_number,ra_epic,dec_epic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_name,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_teff,k2_tefferr1,k2_tefferr2,k2_logg,k2_loggerr1,k2_loggerr2,k2_metfe,k2_metfeerr1,k2_metfeerr2,k2_rad,k2_raderr1,k2_raderr2,k2_mass,k2_masserr1,k2_masserr2,k2_kepmag,k2_kepmagerr,k2_kepmagflag,k2c_disp,k2c_note,k2_gaia_ang_dist,dr2_source_id,ticid
203354381,246.616,-26.421,9.845,5.88,5.24,0.200,---,---,---,0.5993,---,USco,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6045818685674325760,6.045818685674326e+18,1690162609.0,2015.5,246.61604667190025,0.07738856826636346,-26.42099539961457,0.043845809754635506,6.8488143751593125,0.08089198251998979,84.66617,-5.622322923050635,0.17832248766968067,-27.60282134430341,0.11718120486214728,-0.24479347,-0.36870182,-0.41719842,0.06881557,0.16372578,0.07288278,-0.49479127,0.11338431,-0.07837733,-0.19568534,178.0,0.0,178.0,0.0,16.712458,705.5481,0.37550509680404165,26.26349747575511,31.0,False,6.224093,1.3111291752283307,0.012616514474133046,0.004591826,20.0,9.0,0.16962948,0.0,22.0,False,196.0,43120.69735851036,247.353156061021,174.32848,14.101651,22.0,6799.710879294851,148.760328089008,45.709167,15.770162,22.0,59034.43722790954,917.2540419429031,64.35996,12.834156,1.5267413,0.0,2.9360056,1.6685104,1.2674952,,,0.0,,,,NOT_AVAILABLE,351.5019684605914,15.564347744222955,249.10756254821712,-4.66190047729617,100001.0,4305.3,3717.3801,4744.315,1.5682,1.1069,2.691,0.8175,0.615,1.4013,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6045818685674325760, ,203354381,246.61611,-26.420869,145.433659697118,143.729515349025,147.177961293699,1815.36302224032,1.0,1.0,2MASS J16262785-2625152,2,STAR,1.0,0.0,6519.0,65.0,-209.0,4.05,0.1,-0.02,-0.06,0.18,-0.12,1.89,0.04,-0.08,1.48,0.22,-0.03,13.386,999999.0,JHK,N/A,N/A,0.12014081687171656,6045818685674325760,175594111
203636498,245.271,-25.462,10.943,6.34,6.06,0.310,M5.5,-9.3,0.61,0.7794,---,USco,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6048612514663537280,6.048612514663538e+18,338915798.0,2015.5,245.27122315005872,0.08314220918531938,-25.461884091543592,0.04466691024682759,7.655652956660513,0.09418172484098271,81.28597,-7.0057900860376465,0.19104075598682757,-26.74276227443844,0.1291573233876895,-0.40439367,-0.16874696,-0.03505505,-0.21195535,0.19096461,-0.20919326,-0.12644579,-0.2033498,0.20623678,0.0014719928,323.0,9.0,322.0,1.0,21.81842,1243.1887,0.5070112660078364,30.394483610214266,31.0,False,3.0054889,1.2132722849273627,0.01264567253464465,-0.058817573,37.0,12.0,0.17012717,0.0,41.0,False,348.0,12243.115268454338,10.847336930716237,1128.6748,15.468636,40.0,1358.404594931971,8.122557251091228,167.23854,17.518816,38.0,18616.179600153446,36.889476326534755,504.64743,14.0871935,1.6314952,0.0,3.4316225,2.0501804,1.3814421,,,0.0,,,,NOT_AVAILABLE,351.3975053245414,17.10455312119569,247.75461067971628,-3.9121950892391877,100001.0,4044.43,3621.7651,4732.86,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6048612514663537280, ,203636498,245.271234,-25.461782,130.167176518188,128.578500982621,131.794883479555,1777.43363921675,1.0,1.0,2MASS J16210509-2527424,2,STAR,1.0,0.0,7504.0,662.0,-1192.0,4.11,0.21,-0.28,0.095,0.09,-0.21,1.83,0.64,-0.48,1.8,0.17,-0.41,14.331,999999.0,JHK,N/A,N/A,0.08708501045256446,6048612514663537280,322928171
204060981,242.734,-23.825,9.473,5.88,5.11,0.279,M4.5,-6.7,0.65,0.3996*,---,USco,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6049979104536677632,6.049979104536677e+18,1340378002.0,2015.5,242.73407505210596,0.08086692605986522,-23.82481629727114,0.03679372955652194,6.838473230958602,0.08190865850687115,83.48901,-9.496663373300521,0.16084294794731424,-25.674947292095954,0.11973622283652373,-0.18241712,-0.20379356,-0.1706048,-0.56341404,0.12207204,-0.39805713,-0.17147632,-0.24496424,0.30633175,0.020574838,265.0,0.0,265.0,0.0,23.705187,1259.817,0.3857399176226862,38.398022689651455,31.0,False,6.12927,1.2596617277849411,0.011374364083022745,0.0011138475,30.0,10.0,0.14953725,0.0,33.0,False,292.0,61228.81590117089,67.71401065908599,904.2267,13.720976,32.0,9278.726408805012,53.411833573124284,173.72043,15.432667,32.0,84086.57520884596,244.92979018740414,343.3089,12.450104,1.5248588,0.0,2.982563,1.7116909,1.2708721,,,0.0,,,,NOT_AVAILABLE,350.9992157298914,19.907155320981175,245.19390142859638,-2.7030468567542965,100001.0,4303.2437,3572.6335,4581.62,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6049979104536677632, ,204060981,242.734118,-23.824704,145.653716228771,143.923203271489,147.425589884653,1776.91649667139,1.0,1.0,2MASS J16105619-2349288,2,STAR,1.0,0.0,6532.0,65.0,-65.0,4.05,0.02,-0.02,0.102,0.05,-0.05,1.89,0.04,-0.04,1.46,0.03,-0.03,12.171,999999.0,J,N/A,N/A,0.0085432263667499,6049979104536677632,49072162
204060981,242.734,-23.825,9.473,5.88,5.11,0.279,M4.5,-6.7,0.65,---,0.3802*,USco,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6049979104536677632,6.049979104536677e+18,1340378002.0,2015.5,242.73407505210596,0.08086692605986522,-23.82481629727114,0.03679372955652194,6.838473230958602,0.08190865850687115,83.48901,-9.496663373300521,0.16084294794731424,-25.674947292095954,0.11973622283652373,-0.18241712,-0.20379356,-0.1706048,-0.56341404,0.12207204,-0.39805713,-0.17147632,-0.24496424,0.30633175,0.020574838,265.0,0.0,265.0,0.0,23.705187,1259.817,0.3857399176226862,38.398022689651455,31.0,False,6.12927,1.2596617277849411,0.011374364083022745,0.0011138475,30.0,10.0,0.14953725,0.0,33.0,False,292.0,61228.81590117089,67.71401065908599,904.2267,13.720976,32.0,9278.726408805012,53.411833573124284,173.72043,15.432667,32.0,84086.57520884596,244.92979018740414,343.3089,12.450104,1.5248588,0.0,2.982563,1.7116909,1.2708721,,,0.0,,,,NOT_AVAILABLE,350.9992157298914,19.907155320981175,245.19390142859638,-2.7030468567542965,100001.0,4303.2437,3572.6335,4581.62,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6049979104536677632, ,204060981,242.734118,-23.824704,145.653716228771,143.923203271489,147.425589884653,1776.91649667139,1.0,1.0,2MASS J16105619-2349288,2,STAR,1.0,0.0,6532.0,65.0,-65.0,4.05,0.02,-0.02,0.102,0.05,-0.05,1.89,0.04,-0.04,1.46,0.03,-0.03,12.171,999999.0,J,N/A,N/A,0.0085432263667499,6049979104536677632,49072162
205267399,244.674,-18.544,10.082,5.52,5.17,0.272,M5,-9.0,no,0.3311,0.3344*,USco,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6246044017998844160,6.246044017998844e+18,34844972.0,2015.5,244.6744666007959,0.11239522119766827,-18.544522358933268,0.05433122849269,8.669355479164594,0.11156138506149821,77.70928,-18.271645499161423,0.23610088805218582,-28.91953892801246,0.16286070331374564,0.025146326,-0.4098638,-0.37750944,0.0774661,-0.21448494,0.07972597,-0.3372131,-0.003076789,0.005748876,-0.25728226,143.0,0.0,143.0,0.0,20.73461,846.34265,0.4884122264326189,40.356350439423146,31.0,False,3.8595064,1.2848722880257362,0.01795269760676735,0.09947233,16.0,8.0,0.22273491,0.0,18.0,False,161.0,39816.88222501163,47.172596662566384,844.06805,14.188197,16.0,5611.346018749888,42.75222555661362,131.25272,15.978721,18.0,55633.78664430599,190.81324912540424,291.56143,12.898574,1.53817,0.0,3.0801468,1.7905235,1.2896233,,,0.0,,,,NOT_AVAILABLE,356.48743173288767,22.123460499780467,246.04373814577488,2.8132800439979166,100001.0,3821.5352,3305.0,4619.04,,,,,,,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6246044017998844160, ,205267399,244.674535,-18.544388,115.000905397054,113.532838446173,116.506740966539,1812.30618564443,1.0,1.0,2MASS J16184189-1832399,2,STAR,1.0,0.0,5023.0,90.0,-242.0,3.65,0.71,-0.59,-0.119,0.15,-0.54,2.6,1.76,-1.68,1.08,0.21,-0.25,13.501,999999.0,JHK,N/A,N/A,0.06108895282645105,6246044017998844160,49815071
203821589,247.0,-24.805,9.269,8.15,5.66,0.470,M4.75,-7.5,yes,0.9105,0.6677*,rhoOph,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6049078741946841856,6.049078741946842e+18,729041155.0,2015.5,246.99979255970328,0.1027381283116124,-24.805475334542727,0.059606939040852534,7.061896235026332,0.10971801407184681,64.36405,-6.834878073270864,0.2421410986050162,-25.21806968748978,0.15941366794645837,-0.1535983,0.03664704,-0.29506344,-0.17118494,-0.023835141,-0.15936935,-0.38021922,-0.18782379,0.11637001,0.050285503,212.0,0.0,212.0,0.0,26.434645,1342.9037,0.6037658770995173,46.11075702608075,31.0,True,2.3958578,1.2316339260669202,0.018798633719453256,-0.010652183,24.0,11.0,0.22105783,0.0,26.0,False,227.0,18673.789212599568,13.622509682405097,1370.8038,15.010284,25.0,1282.8657589442323,14.665734792397874,87.47368,17.580935,25.0,30348.44782462035,67.30286566000201,450.92355,13.556579,1.6938883,1.0,4.024356,2.57065,1.4537058,,,0.0,,,,NOT_AVAILABLE,352.9983572255496,16.37676384516277,249.19584579603097,-3.0120901346730267,100002.0,3288.25,3280.0,3375.0,2.235,1.9273,2.375,1.3012,1.0775,1.3991,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6049078741946841856, ,203821589,246.999865,-24.805365,141.090810469493,138.923067319045,143.326030775893,1781.69174415468,1.0,1.0,2MASS J16275996-2448193,2,STAR,1.0,0.0,6090.0,243.0,-923.0,3.97,0.22,-1.51,-0.062,0.16,-0.8,1.98,7.3,-0.61,1.16,0.32,-0.28,12.469,999999.0,J,N/A,N/A,0.13093677482567082,6049078741946841856,175743566
203897692,246.484,-24.504,9.764,>10,6.03,---,M5,-12,---,0.5011,0.6043*,rhoOph,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 6049136569386567296,6.049136569386568e+18,1677865426.0,2015.5,246.4837084955325,0.14229384683440455,-24.504258074829124,0.06927084751330018,7.5610079544840945,0.14270573747630572,52.983208,-7.05548349431246,0.3501131525081831,-25.497851089894205,0.22474155154237035,-0.69357944,-0.20681402,-0.44202977,0.2837151,0.38118306,0.2847096,-0.49209967,0.04619987,-0.090044715,-0.3336326,414.0,0.0,413.0,1.0,27.768183,1824.4994,0.6612831923244822,38.04323851774532,31.0,False,1.7225275,1.1712747388579428,0.017114743511329217,-0.107007466,47.0,10.0,0.33120555,0.0,49.0,False,432.0,6625.930954160122,7.382750059938782,897.48816,16.135248,45.0,323.5799122329495,9.586651007549836,33.753174,19.076435,44.0,11621.967306497438,51.35659536195331,226.29941,14.598721,1.8028481,0.0,4.4777145,2.941187,1.5365276,,,0.0,,,,NOT_AVAILABLE,352.9106963921734,16.92782872676303,248.6846188672759,-2.7883888352706068,100001.0,3296.0,3288.0,3346.3333,2.114,1.722,2.4354,1.298,1.081,1.4894,-9.223372036854776e+18,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=6049136569386567296, ,203897692,246.483744,-24.504129,131.841964840016,129.387740616486,134.389367632461,1766.70087231411,1.0,1.0,2MASS J16255609-2430148,2,STAR,1.0,0.0,5130.0,758.0,-474.0,2.52,1.89,-0.16,-0.623,0.72,-0.6,8.11,3.03,-7.13,0.91,0.35,-0.04,13.012,999999.0,J,N/A,N/A,0.06979893527499836,6049136569386567296,98689067
204185983,246.47,-23.326,7.87,6.75,4.06,0.244,M1.5,-2.5,0.68,1.0529,---,rhoOph,2018AJ....155...63S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050952515921144192,203822419
246676629,74.868,14.273,10.062,5.46,5.26,0.292,M3.5,-5.9,0.4,0.6253*,0.6332,Taurus,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 3392549449695395968,3.392549449695396e+18,1402417588.0,2015.5,74.86843059006016,0.19401775222652964,14.273222120059827,0.14564362353594767,6.021687380757344,0.23777593052320797,25.32505,7.018189872259937,0.3674402826634406,-17.08058811266466,0.24035499512729805,-0.14054163,0.2881808,-0.12765862,0.21768217,-0.4252727,0.09335518,-0.5726371,0.17839037,0.3255851,-0.06222877,185.0,0.0,185.0,0.0,67.9133,6981.469,1.2771348429274076,342.1562911999812,31.0,False,0.6011541,1.3155396191559046,0.035305564475119525,0.061873604,21.0,11.0,0.32728845,0.0,21.0,False,167.0,44777.872347906916,100.83027176622441,444.09155,14.060707,18.0,7272.699411486859,59.68690997878364,121.84748,15.697149,20.0,60467.1518588529,590.4121732933488,102.41515,12.808122,1.5127975,0.0,2.8890276,1.6364422,1.2525854,,,0.0,,,,NOT_AVAILABLE,186.42346403700108,-17.000875416081314,75.18399889337587,-8.391183326445343,100001.0,4154.71,3804.385,4523.11,,,,,,,200111.0,0.5251547,0.44309253,0.626325,0.07403415,0.06815319,0.07991511,http://geadata.esac.esa.int/data-server/datalink/links?ID=3392549449695395968, ,246676629,74.868392,14.273303,165.710247129157,159.372584213992,172.563114646505,579.273898330169,1.0,1.0,2MASS J04592841+1416239,13,STAR,1.0,0.0,4958.0,250.0,-156.0,2.45,0.41,-0.05,-0.653,0.5,-0.25,9.49,1.66,-2.62,0.95,0.65,-0.06,14.261,999999.0,gri,N/A,N/A,0.03696436880061742,3392549449695395968,59129133
246682490,74.77,14.349,9.467,5.17,4.77,0.190,M3.5,-6.1,0.2,3.6324,0.4377*,Taurus,2018AJ....155...63S,1.6357214584097997e+18,Gaia DR2 3392553852037339776,3.3925538520373396e+18,1200394061.0,2015.5,74.76961260389503,0.34060703613442195,14.348872201846381,0.23565545845186003,5.722202615353619,0.4002745849256818,14.295693,11.162773899364227,0.6510543555144752,-14.803159954307267,0.4123529462764948,-0.1637663,0.2997054,-0.025440717,0.33320147,-0.2915376,0.27868435,-0.47415826,0.18753408,0.32486725,-0.21338896,222.0,0.0,220.0,2.0,158.17729,48424.86,2.4208088653121123,1394.914739999839,31.0,False,0.16326806,1.5940108414215264,0.06411558480198931,-0.0010252738,25.0,11.0,0.587488,0.0,25.0,False,176.0,56431.14415941044,544.9695810700395,103.549164,13.809568,23.0,15853.06422386657,140.1845114624482,113.08713,14.851105,24.0,107661.72951838451,569.9934873505151,188.88239,12.1817665,2.18877,0.0,2.6693382,1.0415363,1.6278019,,,0.0,,,,NOT_AVAILABLE,186.30137217946972,-17.0363970865181,75.09580953352027,-8.305872870002418,102001.0,3709.0,3431.0,4185.8267,,,,,,,200111.0,0.9004091,0.7069539,1.0522335,0.13822985,0.11880771,0.15765199,http://geadata.esac.esa.int/data-server/datalink/links?ID=3392553852037339776, ,246682490,74.769616,14.348877,175.32990105003,163.52655671068,188.936686763109,578.507552285829,1.0,1.0,2MASS J04590470+1420559,13,STAR,1.0,0.0,4707.0,171.0,-95.0,2.47,0.32,-0.21,-0.217,0.2,-0.36,11.09,1.38,-3.29,1.16,0.44,-0.24,13.531,999999.0,gri,N/A,N/A,0.2814152088658043,3392553852037339776,59091144
