ticid|dr2_source_id|dr3_source_id|angular_distance|magnitude_difference|dr3_ra|dr3_dec|tic8_Tmag|dr3_dist_pc|dr3_bp_rp|dr3_ruwe|period|assoc|age|teff_sedfit|teff_sedfit_perr|teff_sedfit_merr|rstar_sedfit|rstar_sedfit_perr|rstar_sedfit_merr|mass_parsec|mass_parsec_perr|mass_parsec_merr|Rcr_over_Rstar|P2_hr|quality|binarityflag|N_sectors
368129164|1450067137649449728|1450067137649786752|149.06436|0.020329475|202.94303|29.27619|9.29|18.3|2.894|6.95|6.44|ABDMG|149.0|3127|51|42|0.72|0.02|0.03|0.4|0.02|0.06|1.79|2.60|1|011|3
405754448|6056695059045701120|6056695059045701120|0.70579726|0.0013589859|192.13101|-59.74711|9.63|92.6|1.751|6.81|12.92|LCC|15.0|4278|50|59|1.5|0.0|0.04|0.82|0.04|0.04|1.74|134.4|1|011|5
167664935|6104139604209342464|6104139604209342464|0.47866395|-0.005613327|216.37106|-41.22585|10.31|62.5|2.521|5.05|14.05|UCL|16.0|3316|77|72|1.43|0.07|0.06|0.38|0.02|0.06|1.49|10.71|1|011|3
311092148|3274291270411229056|3274291270411229056|0.20437437|-0.013310432|54.1707|3.48822|11.03|26.8|3.032|1.5|7.86|COL|42.0|3071|62|42|0.48|0.02|0.02|0.28|0.02|0.02|2.71|-|1|000|1
402980664|565706429072383232|565706429072383232|0.26197556|-0.009894371|16.73335|80.45946|11.11|21.3|3.042|1.48|18.56|COL|42.0|3090|31|59|0.37|0.02|0.01|0.22|0.01|0.02|5.78|-|1|000|10
50745567|3216729878197029120|3216729878197029120|0.43197533|-0.015455246|82.99117|-3.06045|11.28|38.0|3.217|3.95|6.34|BPMG|24.0|2982|66|44|0.67|0.04|0.03|0.28|0.02|0.02|1.67|28.55|1|011|2
59836633|154779286930692352|154779286930692352|0.19974382|-0.015881538|71.83778|28.14782|11.38|61.9|2.709|1.21|14.96|BPMG|24.0|3243|69|67|0.84|0.04|0.04|0.45|0.05|0.04|2.79|-|1|000|3
425933644|4905813212878537216|4905813212878537216|0.11486479|-0.02006054|3.69944|-60.06353|11.4|43.2|2.823|10.29|11.67|THA|45.0|3136|149|68|0.62|0.06|0.04|0.41|0.04|0.06|3.12|-|1|010|6
142173958|3465944500845668224|3465944500845668224|0.24512145|-0.017651558|180.11428|-34.09376|11.61|70.6|3.09|2.9|11.76|TWA|10.0|3019|51|82|1.14|0.08|0.05|0.26|0.05|0.09|1.47|12.84|1|011|3
146539195|2962794236080240128|2962794236080240128|0.20858347|-0.018500328|77.1139|-21.02905|11.62|48.2|3.37|2.86|6.73|BPMG|24.0|2882|36|64|0.81|0.09|0.03|0.24|0.02|0.02|1.37|7.29|1|011|2
206544316|4909009394396454144|4909009394396454144|0.18607423|-0.009290695|18.41887|-59.65975|11.63|42.8|2.89|1.26|7.73|THA|45.0|3116|57|47|0.57|0.03|0.03|0.35|0.04|0.02|2.43|-|1|000|6
335598085|5857065971210881408|5857065971210881408|0.21772897|-0.022262573|194.89843|-68.13371|11.9|105.5|2.852|2.79|15.85|LCC|15.0|3163|47|58|1.3|0.06|0.04|0.28|0.09|0.07|1.61|17.94|1|011|3
405910546|6061362107917642240|6061362107917642240|0.024858134|-0.018050194|192.75256|-56.72243|12.11|111.9|2.355|1.09|37.99|LCC|15.0|3463|89|75|0.93|0.04|0.05|0.6|0.05|0.05|5.19|-|1|100|4
272248916|6207141200664109184|6207141200664109184|0.54663706|-0.014573097|229.49274|-33.57867|12.15|80.5|2.827|5.5|8.9|UCL|16.0|3188|31|81|0.81|0.04|0.02|0.4|0.04|0.04|1.97|50.7|1|011|3
178155030|5050451154310013056|5050451154310013056|0.10764676|-0.024155617|42.7489|-34.15153|12.17|46.8|2.912|1.29|11.67|THA|45.0|3094|59|35|0.49|0.02|0.02|0.3|0.02|0.02|3.53|-|1|000|4
224283342|6534521406305916928|6534521406305916928|0.1350059|-0.025138855|356.3576|-40.33783|12.29|38.0|3.036|1.27|21.3|COL|42.0|3068|58|49|0.39|0.02|0.02|0.23|0.01|0.03|6.06|-|1|100|3
89026133|6205993722841260032|6205993722841260032|0.18256396|-0.018071175|230.64356|-35.07073|12.31|131.6|2.82|4.0|11.2|UCL|16.0|3176|52|56|1.32|0.06|0.04|0.3|0.02|0.05|1.28|27.83|1|011|3
234295610|6485423779719878016|6485423779719878016|0.036313426|-0.030367851|357.98398|-64.7932|12.51|48.1|3.038|1.13|18.29|THA|45.0|3047|78|30|0.45|0.02|0.02|0.26|0.01|0.02|5.0|-|1|000|3
118449916|3410376454489356416|3410376454489356416|5.19349|0.0921669|68.65273|18.60702|12.54|97.1|3.089|25.18|12.31|TAU|2.0|3022|44|49|1.05|0.1|0.06|0.28|0.03|0.02|1.68|6.71|1|011|4
67897871|6041816502013814400|6041816502013814400|0.18556657|-0.022623062|242.23725|-28.5994|12.55|148.2|3.012|2.55|6.23|USCO|10.0|3096|33|47|1.5|0.0|0.02|0.18|0.01|0.01|0.65|6.72|1|011|2
353730181|144329975098261504|144329975098261504|0.094166756|-0.024335861|67.87684|20.59385|12.65|106.6|2.753|1.23|13.51|TAU|2.0|3221|82|39|0.81|0.02|0.03|0.4|0.05|0.05|2.6|-|1|000|4
201898222|4741424237273655040|4741424237273655040|0.077425554|-0.025445938|40.50932|-53.98747|12.68|42.2|3.211|1.29|10.7|THA|45.0|2971|47|29|0.39|0.02|0.02|0.2|0.02|0.01|3.64|13.62|1|001|5
264767454|5295268619510973056|5295268619511701760|5.757783|0.23228455|117.30223|-57.79299|12.73|123.3|2.929|12.3|10.01|COL(?)|42.0|3096|69|46|1.11|0.05|0.15|0.38|0.02|0.04|1.52|20.62|1|011|13
442571495|6016421494262600960|6016421494262600960|0.3050482|-0.019319534|236.9029|-31.44519|12.75|80.8|3.027|1.64|9.59|UCL|16.0|3066|63|39|0.67|0.03|0.03|0.3|0.03|0.03|2.27|13.82|1|001|3
2234692|181104928193233408|181104928193233408|0.09980374|-0.041758537|79.62957|33.14642|12.8|53.7|3.001|1.2|6.52|COL|42.0|3077|71|38|0.44|0.02|0.02|0.25|0.02|0.01|2.53|59.8|1|001|7
94088626|5368673630700201984|5368673630700201984|0.13183448|-0.02371502|176.59561|-52.64773|12.88|57.6|3.066|1.12|6.6|ARG|45.0|3064|86|41|0.46|0.02|0.02|0.27|0.02|0.02|2.51|-|1|000|2
264599508|3156962079670742528|3156962079670742528|0.14189224|-0.014886856|109.49815|11.30114|12.88|79.7|3.009|1.89|7.9|COL|42.0|3097|59|47|0.6|0.03|0.02|0.35|0.05|0.02|2.34|8.99|1|001|7
363963079|5506029021277336576|5506029021277336576|0.7142551|-0.007816315|110.48004|-49.63465|12.92|83.1|3.089|8.0|7.82|ARG|45.0|3041|58|44|0.67|0.03|0.03|0.35|0.02|0.02|2.11|7.41|1|011|7
193831684|4042180300005971200|4042180300005971200|0.06938789|-0.019690514|270.77212|-34.20913|13.03|51.6|3.233|1.16|31.02|BPMG|24.0|2979|41|63|0.42|0.02|0.02|0.2|0.02|0.01|6.87|-|1|000|3
177309964|5260885172921947008|5260885172922381824|0.081350416|0.0021247864|103.45258|-75.70382|13.1|91.0|2.94|1.15|10.88|CAR|45.0|3128|73|63|0.61|0.04|0.03|0.38|0.03|0.04|2.94|-|1|000|34
425937691|4900780511935295872|4900780511935295872|0.3730608|-0.024510384|5.3664|-63.85252|13.18|43.1|3.768|2.86|4.82|THA|45.0|2780|37|54|0.41|0.02|0.01|0.16|0.02|0.01|1.92|3.22|1|011|5
141146667|860453786736413568|860453786736413568|0.04517887|-0.028464317|166.31223|59.25169|13.28|57.6|3.276|1.23|3.93|FIELD||2972|40|37|0.42|0.02|0.01|||||-|1|000|6
